Model,Train/Test,Class,Precision,Recall,F1-Score,Support,Accuracy,Macro Avg,Weighted Avg,Best params,AUC,Fit Elapsed Time
Random Forest,Train,y,0.8427254098360656,0.4484732824427481,0.5854092526690391,3668.0,0.9292653309046751,0.7733717355280144,0.9194734784278689,"{'max_depth': 10, 'n_estimators': 300}",0.9498359294972765,563.2047414779663
Random Forest,Test,y,0.6370023419203747,0.2801235839340886,0.38912732474964234,971.0,0.8963088878096164,0.6662367418494132,0.8780054003275528,"{'max_depth': 10, 'n_estimators': 300}",0.8925561872414259,563.2047414779663
Gradient Boosting,Train,n,0.9286720901928127,0.9905370319759497,0.9586074652031606,29272.0,0.9239829993928355,0.746849220904588,0.9114472199033935,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.9365237096321852,2284.6626300811768
Gradient Boosting,Test,n,0.9087189976987983,0.9783895388850654,0.9422681779015046,7265.0,0.8942447790189413,0.656693655737756,0.8749313976632822,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.8923648150103873,2284.6626300811768
Gradient Boosting,Train,y,0.8387660069848661,0.39285714285714285,0.5350909766060156,3668.0,0.9239829993928355,0.746849220904588,0.9114472199033935,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.9365237096321852,2284.6626300811768
Gradient Boosting,Test,y,0.6207729468599034,0.2646755921730175,0.3711191335740072,971.0,0.8942447790189413,0.656693655737756,0.8749313976632822,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.8923648150103873,2284.6626300811768
XGBoost,Train,n,0.9237209302325582,0.9837728887674227,0.952801627872351,29272.0,0.9133879781420765,0.7138386935606924,0.8995826817244965,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.9342089922653782,66.63068056106567
XGBoost,Test,n,0.9107097104791186,0.9785271851342051,0.9434012341583173,7265.0,0.8964303059737737,0.6672752066580309,0.8782923529774582,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.9007600312716402,66.63068056106567
XGBoost,Train,y,0.7308781869688386,0.35169029443838606,0.4748757592490337,3668.0,0.9133879781420765,0.7138386935606924,0.8995826817244965,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.9342089922653782,66.63068056106567
XGBoost,Test,y,0.6372093023255814,0.282183316168898,0.39114917915774444,971.0,0.8964303059737737,0.6672752066580309,0.8782923529774582,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.9007600312716402,66.63068056106567
LightGBM,Train,n,0.9234914830141469,0.9834654277124898,0.9525353627264456,29272.0,0.9129022465088039,0.7123302388609228,0.8990397710847493,"{'learning_rate': 0.01, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 70}",0.9408369657673241,260.90895199775696
LightGBM,Test,n,0.9104649673370052,0.9783895388850654,0.9432059447983014,7265.0,0.8960660514813016,0.665888686684865,0.8778161784971488,"{'learning_rate': 0.01, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 70}",0.9049912004213024,260.90895199775696
LightGBM,Train,y,0.7260894170911149,0.34978189749182115,0.47212511499540016,3668.0,0.9129022465088039,0.7123302388609228,0.8990397710847493,"{'learning_rate': 0.01, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 70}",0.9408369657673241,260.90895199775696
LightGBM,Test,y,0.634032634032634,0.2801235839340886,0.38857142857142857,971.0,0.8960660514813016,0.665888686684865,0.8778161784971488,"{'learning_rate': 0.01, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 70}",0.9049912004213024,260.90895199775696
